delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
0.2,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
0.3,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
0.4,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
0.5,M Vijay,VS Malik,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
0.6,M Vijay,VS Malik,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
1.1,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
1.2,M Vijay,JP Faulkner,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
1.3,M Vijay,JP Faulkner,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
1.4,M Vijay,JP Faulkner,0,MEK Hussey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
1.5,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
1.6,M Vijay,JP Faulkner,{'legbyes': 1},MEK Hussey,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
2.1,M Vijay,VS Malik,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
2.2,M Vijay,VS Malik,0,MEK Hussey,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
2.3,M Vijay,VS Malik,0,MEK Hussey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
2.4,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
2.5,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
2.6,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
3.1,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
3.2,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
3.3,MEK Hussey,SR Watson,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
3.4,MEK Hussey,SR Watson,{'legbyes': 2},M Vijay,"{'batsman': 0, 'extras': 2, 'total': 2}",0,0.0,0,2.0,0,0,0,0,0,0,2,2,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
3.5,MEK Hussey,SR Watson,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
3.6,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
4.1,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
4.2,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
4.3,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
4.4,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
4.5,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
4.6,MEK Hussey,JP Faulkner,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.1,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.2,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.3,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.4,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.5,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.6,M Vijay,SR Watson,{'wides': 1},MEK Hussey,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
5.7,M Vijay,SR Watson,0,MEK Hussey,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
6.1,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
6.2,M Vijay,VS Malik,0,MEK Hussey,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
6.3,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
6.4,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
6.5,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
6.6,MEK Hussey,VS Malik,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
7.1,MEK Hussey,SK Trivedi,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
7.2,MEK Hussey,SK Trivedi,0,M Vijay,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
7.3,MEK Hussey,SK Trivedi,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
7.4,M Vijay,SK Trivedi,0,MEK Hussey,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
7.5,M Vijay,SK Trivedi,0,MEK Hussey,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
7.6,M Vijay,SK Trivedi,0,MEK Hussey,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
8.1,MEK Hussey,KK Cooper,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Chennai Super Kings,Jaipur,2013-05-12,male,T20,0,Rajasthan Royals,wickets,5,0,0,0,0,SR Watson,20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium
