bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
A Flintoff,4,44,0,1,11.0,2009-04-18,Mumbai Indians,Mumbai Indians,0,Newlands
A Flintoff,3,11,0,1,3.6666666666666665,2009-04-20,Chennai Super Kings,Chennai Super Kings,0,St George's Park
A Flintoff,4,50,0,0,12.5,2009-04-23,Delhi Daredevils,Delhi Daredevils,0,Kingsmead
A Nehra,3,24,0,1,8.0,2014-04-18,Kings XI Punjab,Kings XI Punjab,0,Sheikh Zayed Stadium
A Nehra,4,33,0,3,8.25,2014-05-24,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
A Nehra,4,34,0,2,8.5,2014-05-28,Mumbai Indians,Chennai Super Kings,0,Brabourne Stadium
A Nehra,4,51,0,2,12.75,2014-05-30,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
A Nehra,4,25,0,4,6.25,2015-04-09,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,4,31,0,0,7.75,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,4,23,0,3,5.75,2015-04-17,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
A Nehra,4,32,0,0,8.0,2015-04-19,Chennai Super Kings,Rajasthan Royals,0,"Sardar Patel Stadium, Motera"
A Nehra,4,10,0,4,2.5,2015-04-22,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
A Nehra,4,16,0,2,4.0,2015-04-25,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,4,38,0,2,9.5,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,4,36,0,0,9.0,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
A Nehra,4,31,0,1,7.75,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
A Nehra,4,19,0,3,4.75,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,3,45,0,0,15.0,2015-05-08,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,4,29,0,0,7.25,2015-05-10,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
A Nehra,3,17,0,1,5.666666666666667,2015-05-16,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
A Nehra,4,28,0,1,7.0,2015-05-19,Mumbai Indians,Mumbai Indians,0,Wankhede Stadium
A Nehra,4,28,0,3,7.0,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,0,JSCA International Stadium Complex
A Nehra,4,41,0,1,10.25,2015-05-24,Chennai Super Kings,Mumbai Indians,0,Eden Gardens
AS Rajpoot,3,25,0,1,8.333333333333334,2013-04-06,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
AS Rajpoot,1,10,0,0,10.0,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
B Laughlin,3,25,0,1,8.333333333333334,2013-04-06,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
B Laughlin,4,46,0,0,11.5,2013-05-05,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
BW Hilfenhaus,4,31,0,1,7.75,2012-05-04,Deccan Chargers,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
BW Hilfenhaus,4,34,1,2,8.5,2012-05-06,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
BW Hilfenhaus,4,8,1,2,2.0,2012-05-10,Chennai Super Kings,Chennai Super Kings,0,Sawai Mansingh Stadium
BW Hilfenhaus,4,27,0,3,6.75,2012-05-12,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
BW Hilfenhaus,3,26,0,1,8.666666666666666,2012-05-14,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
BW Hilfenhaus,4,20,0,1,5.0,2012-05-17,Chennai Super Kings,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
BW Hilfenhaus,4,45,0,1,11.25,2012-05-23,Mumbai Indians,Chennai Super Kings,0,M Chinnaswamy Stadium
BW Hilfenhaus,3,17,0,1,5.666666666666667,2012-05-25,Chennai Super Kings,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
BW Hilfenhaus,4,25,0,2,6.25,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk"
BW Hilfenhaus,2,9,0,1,4.5,2014-04-21,Delhi Daredevils,Chennai Super Kings,0,Sheikh Zayed Stadium
BW Hilfenhaus,4,32,0,1,8.0,2014-04-23,Chennai Super Kings,Chennai Super Kings,0,Dubai International Cricket Stadium
BW Hilfenhaus,4,39,0,2,9.75,2014-04-25,Mumbai Indians,Chennai Super Kings,0,Dubai International Cricket Stadium
BW Hilfenhaus,4,32,0,2,8.0,2014-04-27,Chennai Super Kings,Chennai Super Kings,0,Sharjah Cricket Stadium
BW Hilfenhaus,3,26,0,1,8.666666666666666,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,0,JSCA International Stadium Complex
BW Hilfenhaus,4,34,0,1,8.5,2014-05-05,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
BW Hilfenhaus,4,36,0,1,9.0,2014-05-07,Chennai Super Kings,Kings XI Punjab,0,Barabati Stadium
BW Hilfenhaus,3,38,0,0,12.666666666666666,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
C Ganapathy,1,13,0,0,13.0,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,4,27,0,2,6.75,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
CH Morris,4,40,0,3,10.0,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,4,25,0,2,6.25,2013-04-15,Pune Warriors,Pune Warriors,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,2,13,0,1,6.5,2013-04-18,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
CH Morris,3,12,0,1,4.0,2013-04-20,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
CH Morris,3,32,0,0,10.666666666666666,2013-04-22,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,3,24,0,0,8.0,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,3,29,0,1,9.666666666666666,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,3,21,0,2,7.0,2013-04-30,Chennai Super Kings,Chennai Super Kings,0,Subrata Roy Sahara Stadium
CH Morris,3,31,0,0,10.333333333333334,2013-05-02,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CH Morris,3,14,0,0,4.666666666666667,2013-05-05,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
CH Morris,2,24,0,1,12.0,2013-05-08,Chennai Super Kings,Chennai Super Kings,0,"Rajiv Gandhi International Stadium, Uppal"
CH Morris,4,36,0,1,9.0,2013-05-12,Chennai Super Kings,Rajasthan Royals,0,Sawai Mansingh Stadium
CH Morris,2,22,0,0,11.0,2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
CH Morris,3,26,0,1,8.666666666666666,2013-05-21,Mumbai Indians,Chennai Super Kings,0,Feroz Shah Kotla
CH Morris,4,25,0,2,6.25,2013-05-26,Mumbai Indians,Mumbai Indians,0,Eden Gardens
CK Kapugedera,1,15,0,0,15.0,2008-05-08,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
CK Kapugedera,1,8,0,0,8.0,2008-05-10,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
CK Kapugedera,0,26,0,0,inf,2008-05-14,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
DE Bollinger,4,15,0,2,3.75,2010-04-03,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,39,0,1,9.75,2010-04-06,Mumbai Indians,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,3,31,0,0,10.333333333333334,2010-04-10,Chennai Super Kings,Deccan Chargers,0,"Vidarbha Cricket Association Stadium, Jamtha"
DE Bollinger,4,15,1,2,3.75,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,24,0,2,6.0,2010-04-15,Delhi Daredevils,Delhi Daredevils,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,39,0,0,9.75,2010-04-18,Chennai Super Kings,Chennai Super Kings,0,Himachal Pradesh Cricket Association Stadium
DE Bollinger,4,13,1,4,3.25,2010-04-22,Deccan Chargers,Chennai Super Kings,0,Dr DY Patil Sports Academy
DE Bollinger,4,31,0,2,7.75,2010-04-25,Mumbai Indians,Chennai Super Kings,0,Dr DY Patil Sports Academy
DE Bollinger,3,18,0,1,6.0,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,0,Nehru Stadium
DE Bollinger,4,30,0,2,7.5,2011-04-22,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
DE Bollinger,4,20,0,3,5.0,2011-04-25,Pune Warriors,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,21,1,3,5.25,2011-04-27,Chennai Super Kings,Chennai Super Kings,0,Dr DY Patil Sports Academy
DE Bollinger,4,26,0,3,6.5,2011-05-01,Deccan Chargers,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,28,0,0,7.0,2011-05-04,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,1,6,0,0,6.0,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
DE Bollinger,4,22,0,3,5.5,2011-05-09,Chennai Super Kings,Chennai Super Kings,0,Sawai Mansingh Stadium
DE Bollinger,4,38,0,1,9.5,2011-05-12,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,38,0,2,9.5,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,34,0,0,8.5,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
DE Bollinger,4,20,0,1,5.0,2011-05-24,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
DE Bollinger,3,28,0,1,9.333333333333334,2011-05-28,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,34,0,2,8.5,2012-04-04,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,2,20,1,2,10.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DE Bollinger,2,18,0,0,9.0,2012-04-10,Chennai Super Kings,Delhi Daredevils,0,Feroz Shah Kotla
DE Bollinger,3,24,0,4,8.0,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,3,30,0,1,10.0,2012-04-19,Pune Warriors,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DE Bollinger,4,31,0,1,7.75,2012-04-21,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,36,0,1,9.0,2011-05-09,Chennai Super Kings,Chennai Super Kings,0,Sawai Mansingh Stadium
DJ Bravo,3,21,0,2,7.0,2011-05-12,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,36,0,1,9.0,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,21,0,0,5.25,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
DJ Bravo,3,28,0,1,9.333333333333334,2011-05-24,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
DJ Bravo,2,15,0,1,7.5,2011-05-28,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,14,0,1,4.666666666666667,2012-04-04,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,1,10,0,0,10.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
DJ Bravo,1,5,0,0,5.0,2012-04-10,Chennai Super Kings,Delhi Daredevils,0,Feroz Shah Kotla
DJ Bravo,4,30,0,0,7.5,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,31,0,0,10.333333333333334,2012-04-14,Chennai Super Kings,Pune Warriors,0,Subrata Roy Sahara Stadium
DJ Bravo,4,28,0,2,7.0,2012-04-19,Pune Warriors,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,32,0,0,10.666666666666666,2012-04-21,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,28,0,3,7.0,2012-04-28,Kings XI Punjab,Kings XI Punjab,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,27,0,2,6.75,2012-04-30,Kolkata Knight Riders,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,35,0,2,8.75,2012-05-04,Deccan Chargers,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,39,0,3,9.75,2012-05-06,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
DJ Bravo,3,38,0,0,12.666666666666666,2012-05-10,Chennai Super Kings,Chennai Super Kings,0,Sawai Mansingh Stadium
DJ Bravo,4,22,0,0,5.5,2012-05-12,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,22,0,1,7.333333333333333,2012-05-14,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
DJ Bravo,3,18,0,2,6.0,2012-05-17,Chennai Super Kings,Kings XI Punjab,0,Himachal Pradesh Cricket Association Stadium
DJ Bravo,3,10,0,2,3.3333333333333335,2012-05-23,Mumbai Indians,Chennai Super Kings,0,M Chinnaswamy Stadium
DJ Bravo,3,24,0,1,8.0,2012-05-25,Chennai Super Kings,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,49,0,1,12.25,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,44,0,2,11.0,2013-04-06,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,27,0,3,6.75,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
DJ Bravo,4,32,0,1,8.0,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,35,0,2,8.75,2013-04-15,Pune Warriors,Pune Warriors,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,1,8,1,1,8.0,2013-04-18,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
DJ Bravo,2,14,0,2,7.0,2013-04-20,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
DJ Bravo,4,36,0,2,9.0,2013-04-22,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,37,0,2,9.25,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,37,0,2,9.25,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,18,0,1,4.5,2013-04-30,Chennai Super Kings,Chennai Super Kings,0,Subrata Roy Sahara Stadium
DJ Bravo,4,34,0,3,8.5,2013-05-02,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,19,0,1,6.333333333333333,2013-05-05,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
DJ Bravo,4,25,0,1,6.25,2013-05-08,Chennai Super Kings,Chennai Super Kings,0,"Rajiv Gandhi International Stadium, Uppal"
DJ Bravo,3,35,0,1,11.666666666666666,2013-05-12,Chennai Super Kings,Rajasthan Royals,0,Sawai Mansingh Stadium
DJ Bravo,4,19,0,2,4.75,2013-05-14,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,2,26,0,1,13.0,2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
DJ Bravo,3,9,0,3,3.0,2013-05-21,Mumbai Indians,Chennai Super Kings,0,Feroz Shah Kotla
DJ Bravo,4,42,0,4,10.5,2013-05-26,Mumbai Indians,Mumbai Indians,0,Eden Gardens
DJ Bravo,4,36,0,2,9.0,2015-04-09,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,25,0,2,6.25,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,30,0,2,7.5,2015-04-17,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
DJ Bravo,2,30,0,1,15.0,2015-04-19,Chennai Super Kings,Rajasthan Royals,0,"Sardar Patel Stadium, Motera"
DJ Bravo,3,25,0,1,8.333333333333334,2015-04-22,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
DJ Bravo,3,13,0,0,4.333333333333333,2015-04-25,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,3,22,0,3,7.333333333333333,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,2,27,0,0,13.5,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
DJ Bravo,4,25,0,3,6.25,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal"
DJ Bravo,3,17,1,3,5.666666666666667,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,2,16,0,1,8.0,2015-05-08,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,4,43,0,2,10.75,2015-05-10,Rajasthan Royals,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DJ Bravo,2,20,0,1,10.0,2015-05-16,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
DJ Bravo,4,40,0,3,10.0,2015-05-19,Mumbai Indians,Mumbai Indians,0,Wankhede Stadium
DJ Bravo,3,21,0,2,7.0,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,0,JSCA International Stadium Complex
DJ Bravo,4,36,0,2,9.0,2015-05-24,Chennai Super Kings,Mumbai Indians,0,Eden Gardens
DJ Hussey,3,38,0,2,12.666666666666666,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,0,JSCA International Stadium Complex
DP Nannes,4,18,0,1,4.5,2013-04-06,Mumbai Indians,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk"
DP Nannes,3,17,0,3,5.666666666666667,2013-04-10,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
DP Nannes,4,31,0,1,7.75,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DP Nannes,4,42,0,0,10.5,2013-04-15,Pune Warriors,Pune Warriors,0,"MA Chidambaram Stadium, Chepauk"
DP Nannes,4,50,0,0,12.5,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
DR Smith,2,25,0,1,12.5,2014-04-18,Kings XI Punjab,Kings XI Punjab,0,Sheikh Zayed Stadium
DR Smith,2,14,0,1,7.0,2014-04-21,Delhi Daredevils,Chennai Super Kings,0,Sheikh Zayed Stadium
DR Smith,2,11,0,1,5.5,2014-04-27,Chennai Super Kings,Chennai Super Kings,0,Sharjah Cricket Stadium
DR Smith,1,9,0,0,9.0,2014-05-05,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
DR Smith,3,36,0,1,12.0,2014-05-07,Chennai Super Kings,Kings XI Punjab,0,Barabati Stadium
DR Smith,2,17,0,1,8.5,2015-05-24,Chennai Super Kings,Mumbai Indians,0,Eden Gardens
F du Plessis,1,16,0,0,16.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
IC Pandey,4,23,0,2,5.75,2014-04-21,Delhi Daredevils,Chennai Super Kings,0,Sheikh Zayed Stadium
IC Pandey,4,22,1,2,5.5,2014-04-23,Chennai Super Kings,Chennai Super Kings,0,Dubai International Cricket Stadium
IC Pandey,4,21,0,0,5.25,2014-04-25,Mumbai Indians,Chennai Super Kings,0,Dubai International Cricket Stadium
IC Pandey,3,22,0,0,7.333333333333333,2014-04-27,Chennai Super Kings,Chennai Super Kings,0,Sharjah Cricket Stadium
IC Pandey,2,20,0,0,10.0,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,0,JSCA International Stadium Complex
IC Pandey,3,26,1,0,8.666666666666666,2014-05-05,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
IC Pandey,4,41,0,0,10.25,2014-05-07,Chennai Super Kings,Kings XI Punjab,0,Barabati Stadium
IC Pandey,4,34,0,1,8.5,2014-05-10,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
IC Pandey,3,18,0,0,6.0,2014-05-13,Rajasthan Royals,Chennai Super Kings,0,JSCA International Stadium Complex
IC Pandey,4,31,0,1,7.75,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,0,Eden Gardens
IC Pandey,3,25,0,0,8.333333333333334,2014-05-28,Mumbai Indians,Chennai Super Kings,0,Brabourne Stadium
IC Pandey,4,35,0,1,8.75,2014-05-30,Kings XI Punjab,Kings XI Punjab,0,Wankhede Stadium
IC Pandey,4,30,0,1,7.5,2015-04-09,Delhi Daredevils,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
IC Pandey,3,26,0,1,8.666666666666666,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
IC Pandey,3,22,1,1,7.333333333333333,2015-04-17,Chennai Super Kings,Chennai Super Kings,0,Wankhede Stadium
IC Pandey,2,12,0,0,6.0,2015-04-19,Chennai Super Kings,Rajasthan Royals,0,"Sardar Patel Stadium, Motera"
IC Pandey,4,21,0,1,5.25,2015-04-22,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
IC Pandey,2,17,0,1,8.5,2015-04-25,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
IC Pandey,2,18,0,1,9.0,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
IC Pandey,4,28,0,2,7.0,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
IC Pandey,4,27,1,2,6.75,2015-05-12,Chennai Super Kings,Delhi Daredevils,0,Shaheed Veer Narayan Singh International Stadium
IC Pandey,3,22,0,1,7.333333333333333,2015-05-16,Chennai Super Kings,Chennai Super Kings,0,"Punjab Cricket Association Stadium, Mohali"
JA Morkel,4,38,0,1,9.5,2008-04-28,Chennai Super Kings,Chennai Super Kings,0,M Chinnaswamy Stadium
JA Morkel,4,40,0,0,10.0,2008-05-02,Delhi Daredevils,Delhi Daredevils,0,"MA Chidambaram Stadium, Chepauk"
JA Morkel,1,10,0,0,10.0,2008-05-04,Chennai Super Kings,Rajasthan Royals,0,Sawai Mansingh Stadium
JA Morkel,4,26,0,1,6.5,2008-05-06,Deccan Chargers,Deccan Chargers,0,"MA Chidambaram Stadium, Chepauk"
JA Morkel,4,35,0,2,8.75,2008-05-08,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
JA Morkel,4,25,0,1,6.25,2008-05-10,Kings XI Punjab,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
JA Morkel,3,44,0,0,14.666666666666666,2008-05-14,Chennai Super Kings,Mumbai Indians,0,Wankhede Stadium
JA Morkel,4,25,0,0,6.25,2008-05-18,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
JA Morkel,4,32,0,4,8.0,2008-05-21,Royal Challengers Bangalore,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk"
JA Morkel,4,35,0,2,8.75,2008-05-24,Rajasthan Royals,Rajasthan Royals,0,"MA Chidambaram Stadium, Chepauk"
JA Morkel,4,37,0,3,9.25,2008-05-27,Chennai Super Kings,Chennai Super Kings,0,"Rajiv Gandhi International Stadium, Uppal"
JA Morkel,4,27,0,2,6.75,2008-05-31,Kings XI Punjab,Chennai Super Kings,0,Wankhede Stadium
JA Morkel,4,25,0,4,6.25,2008-06-01,Rajasthan Royals,Rajasthan Royals,0,Dr DY Patil Sports Academy
JA Morkel,2,12,0,1,6.0,2009-04-20,Chennai Super Kings,Chennai Super Kings,0,St George's Park
JA Morkel,4,41,0,1,10.25,2009-04-23,Delhi Daredevils,Delhi Daredevils,0,Kingsmead
JA Morkel,3,29,0,0,9.666666666666666,2009-04-27,Deccan Chargers,Deccan Chargers,0,Kingsmead
JA Morkel,4,21,0,2,5.25,2009-04-30,Rajasthan Royals,Chennai Super Kings,0,SuperSport Park
JA Morkel,4,32,0,1,8.0,2009-05-02,Delhi Daredevils,Chennai Super Kings,0,New Wanderers Stadium
JA Morkel,3,24,1,2,8.0,2009-05-04,Deccan Chargers,Chennai Super Kings,0,Buffalo Park
JA Morkel,3,36,0,1,12.0,2009-05-07,Kings XI Punjab,Chennai Super Kings,0,SuperSport Park
JA Morkel,3,24,0,1,8.0,2009-05-09,Rajasthan Royals,Chennai Super Kings,0,De Beers Diamond Oval
JA Morkel,4,13,0,2,3.25,2009-05-14,Chennai Super Kings,Royal Challengers Bangalore,0,Kingsmead
JA Morkel,4,31,0,3,7.75,2009-05-16,Mumbai Indians,Chennai Super Kings,0,St George's Park
JA Morkel,3,39,0,0,13.0,2009-05-18,Kolkata Knight Riders,Kolkata Knight Riders,0,SuperSport Park
JA Morkel,3,26,0,1,8.666666666666666,2009-05-23,Chennai Super Kings,Royal Challengers Bangalore,0,New Wanderers Stadium
JA Morkel,4,41,0,1,10.25,2010-03-14,Deccan Chargers,Deccan Chargers,0,"MA Chidambaram Stadium, Chepauk"
JA Morkel,2,6,1,1,3.0,2010-03-16,Chennai Super Kings,Chennai Super Kings,0,Eden Gardens
JA Morkel,3,26,0,0,8.666666666666666,2010-03-19,Chennai Super Kings,Chennai Super Kings,0,Feroz Shah Kotla
